Moody and nostalgic vibe, heavy film grain, somber colors.
Vibrant and energetic atmosphere, high saturation, sharp contrast.
Ethereal and dreamlike mood, soft focus, misty highlights.
Gritty and raw street vibe, candid moments, unposed feel.
Clean and minimalist aesthetic, muted tones, spacious composition.
Tense and suspenseful atmosphere, dramatic shadows, mysterious mood.
Warm and cozy intimate feeling, soft lighting, close-up framing.
Epic and cinematic scale, wide expanses, grand vistas.
Harsh and sterile industrial mood, cold colors, hard edges.
Lush and decadent luxury, rich textures, deep warm tones.
Melancholic rainy day mood, water-streaked glass, grey sky.
Surreal and otherworldly vibe, impossible lighting, dream logic.
Playful and colorful pop aesthetic, vibrant gels, neon glow.
Haunting and ghostly atmosphere, faded colors, blurred movement.
Crisp and refreshing morning vibe, clear light, vivid details.
