name,prompt,negative_prompt
No Style,,
GGAFD Ultra Skin,"ultra-realistic skin texture, visible pores at microscopic level, natural skin imperfections including fine lines and subtle wrinkles, micro skin details with subsurface scattering, realistic skin translucency showing blood vessels beneath, 16K macro skin detail, professional beauty photography with ring light catch lights, natural skin oils creating authentic highlights, genuine human skin with realistic dermis and epidermis texture, individual peach fuzz hairs visible, natural redness around nose and cheeks, authentic moles and beauty marks, skin that breathes and lives, photorealistic pore structure, natural sebaceous gland activity visible","airbrushed skin, plastic doll skin, smooth featureless skin, CGI uncanny valley, wax figure appearance, mannequin texture, doll-like perfection, overprocessed retouching, fake artificial skin, beauty filter applied, FaceTune smoothing, poreless skin, silicon texture"
Hyper Portrait Master,"hyperrealistic portrait photography with extreme facial detail, every individual hair strand visible and naturally placed, intricate iris texture with visible striations and depth, natural skin blemishes telling life stories, authentic unfiltered beauty, 8K UHD RAW uncompressed quality, professional full-frame DSLR with 85mm f/1.4 prime lens, perfect catch lights in both eyes showing studio setup, subsurface skin scattering with realistic light penetration, visible collagen structure in lips, natural tear film moisture in eyes, realistic sclera with subtle blood vessels, hair follicle detail at hairline, ear cartilage translucency, nostril interior detail","cartoon style, illustration art, digital painting, smooth poreless skin, airbrushed perfection, plastic surgery look, CGI render, 3D character model, anime aesthetic, blurred details, soft focus face"
Natural Beauty Unfiltered,"completely raw unretouched beauty photography, natural skin texture with every pore and fine line visible, authentic imperfections that make faces unique, real human skin without any post-processing, no airbrushing whatsoever, documentary style honest portrait, true authentic beauty celebrating natural features, freckles and moles visible as nature intended, natural redness variations around nose bridge and cheeks, visible peach fuzz catching light, subtle under-eye natural shadows, real lip texture with natural dryness variations, authentic eyebrow hair direction, genuine unposed expression","heavily retouched magazine cover, photoshopped beyond recognition, plastic surgery aesthetic, artificial beauty standards, fake poreless porcelain skin, Instagram filter look, FaceTune nightmare, beauty app processed"
Studio Skin Excellence,"professional high-end studio beauty shot with controlled three-point lighting revealing every skin texture detail, visible pore structure under soft key light, natural skin sheen from controlled humidity, premium commercial skincare advertising photography quality, extreme macro capability showing skin cell structure, realistic sebum highlights on T-zone, professional beauty dish creating soft shadow transitions, careful fill light preserving skin dimensionality, hair light creating separation and peach fuzz visibility, shot on Phase One IQ4 150MP medium format","flat matte powdery skin, no visible texture, airbrushed amateur work, harsh unflattering lighting, deep harsh shadows, on-camera flash look, passport photo quality"
Golden Hour Goddess,"golden hour magic hour natural lighting portrait, warm honey skin tones from low sun angle, sun-kissed authentic glow on cheekbones, natural outdoor environmental portrait, soft directional rim lighting creating hair halo, authentic skin warmth with orange and yellow undertones, flyaway hair details backlit by sun, lens flare adding authenticity, natural outdoor setting, warm color temperature around 3200K, skin glowing from reflected golden light, natural squint from bright conditions, environmental context visible","cold studio lighting, artificial blue tones, harsh midday overhead sun, flat overcast boring light, indoor fluorescent, clinical white balance"
Extreme Macro Beauty,"intimate extreme close-up beauty photography, macro lens capabilities at 1:1 reproduction ratio, visible peach fuzz and vellus hair details, natural lip texture showing vertical lines and subtle dryness, pore-level extreme detail at dermatological examination level, authentic beauty marks with hair growing from moles, realistic tear duct moisture pooling, individual eyelash definition with natural clumping, visible mascara or natural lash texture, nostril hair visibility at edge, ear canal entrance detail, crow's feet and expression lines","full body wide shot, environmental portrait, smooth filtered skin, soft focus glamour, vaseline lens effect, beauty mode active"
Kodak Portra Film,"authentic 35mm film photography aesthetic, Kodak Portra 400 signature color science with lifted shadows, natural organic film grain structure visible, analog warmth impossible to replicate digitally, slightly lifted black point, natural skin rendering with orange and teal undertones, vintage lens characteristics with subtle chromatic aberration, natural vignette from lens limitations, halation around highlights, film stock color response to skin tones, subtle light leaks from old camera, sprocket hole aesthetic available","clinical digital sharpness, oversaturated Instagram look, HDR tone mapping, modern mirrorless perfection, noise-free digital sterility"
Vogue Cover Ready,"high-end international Vogue magazine cover quality, professional fashion photography at Annie Leibovitz level, sophisticated Profoto lighting setup, editorial beauty direction, elegant confident pose with intentionality, refined sophisticated aesthetic, luxury aspirational feel, designer clothing and styling implied, professional hair and makeup team quality, Richard Avedon inspired composition, dramatic yet flattering light ratio, fashion industry standard color grading","amateur snapshot quality, cheap production value, casual everyday look, low budget, student portfolio, natural candid, documentary style"
Soft Diffused Intimacy,"soft window light portrait with sheer curtain diffusion, naturally diffused illumination creating gentle gradients, gentle transitional shadows revealing form, intimate bedroom atmosphere, photography aesthetic of morning light, warm ambient bounced light from walls, cozy comfortable private feeling, natural skin glow from large soft source, eye-level personal connection, private moment shared, soft furnishing reflections adding warmth","harsh direct sunlight, studio strobe harshness, artificial theatrical lighting, outdoor harsh conditions, clinical environment"
Chiaroscuro Drama,"dramatic beauty lighting with Renaissance chiaroscuro technique, single key light creating bold shadows, deep dramatic shadows carving facial structure, Rembrandt triangle lighting on cheek, theatrical portrait intensity, bold contrast between highlight and shadow, artistic shadow placement emphasizing bone structure, one side of face falling into darkness, spotlight theatrical feeling, oil painting master inspired","flat even shadowless lighting, soft box everywhere fill, passport ID photo, multiple light sources eliminating shadow, boring corporate headshot"
Glass Skin Perfection,"fresh dewy hydrated glass skin Korean beauty trend, morning skincare routine glow effect, intensely hydrated skin appearance with water-weight, natural moisture highlights on cheekbones and nose bridge, healthy youthful bouncy skin, chok-chok glass skin effect, luminous wet-look complexion, subtle shimmer from hydrating serums, plump hydrated lips, eye area well-moisturized, skin looking like it drinks water, healthy barrier function visible","matte dry dehydrated skin, powdery cakey makeup, dull tired exhausted looking, flaky dry patches, unhealthy stressed skin"
